"","#","Name","Type","Std_conc","RT","Area","IS Area","Response","Detection Flags","ng/mL","%Dev","Compound"
"470","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"471","108","LSP13_M","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"472","110","LSP13_D","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"473","122","LMD1_B","Analyte","0","2.64","5.290",0,"5.290","bd","13.2","0","DIM2BOA-Glc"
"474","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"475","124","LRC7.O_M","Analyte","0","2.73","2.133",0,"2.133","dbI","0.0","0","DIM2BOA-Glc"
"476","128","LMD1_M","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"477","131","LMX9_B","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"478","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"479","137","LME3_M","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"480","139","LME3_D","Analyte","0","0","0",0,"0","0","0","0","DIM2BOA-Glc"
"481","16","LMB2_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"482","17","LBA112_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"483","38","LMB2_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"484","40","LRC7.O_B","Analyte","0","3.20","2.663",0,"2.663","bb","34.8","0","HDM2BOA-Glc"
"485","42","LBA112_M","Analyte","0","3.24","2.076",0,"2.076","db","6.4","0","HDM2BOA-Glc"
"486","46","LAC11_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"487","47","LAC11_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"488","56","LMB2_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"489","59","LMX9_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"490","61","LMX9_D","Analyte","0","3.27","2.271",0,"2.271","bb","15.8","0","HDM2BOA-Glc"
"491","62","NBC_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"492","64","LAC11_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"493","82","LMI1x_M","Analyte","0","3.21","3.016",0,"3.016","bb","51.8","0","HDM2BOA-Glc"
"494","84","LME3_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"495","88","NBC_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"496","91","LRC7.O_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"497","93","LBA112_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"498","94","LMD1_D","Analyte","0","3.23","2.654",0,"2.654","bb","34.3","0","HDM2BOA-Glc"
"499","100","LSP13_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"500","103","LMI1x_D","Analyte","0","3.19","4.549",0,"4.549","bb","125.9","0","HDM2BOA-Glc"
"501","108","LSP13_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"502","110","LSP13_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"503","122","LMD1_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"504","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"505","124","LRC7.O_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"506","128","LMD1_M","Analyte","0","3.21","3.238",0,"3.238","bb","62.5","0","HDM2BOA-Glc"
"507","131","LMX9_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"508","134","LMI1x_B","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"509","137","LME3_M","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"510","139","LME3_D","Analyte","0","0","0",0,"0","0","0","0","HDM2BOA-Glc"
"511","16","LMB2_M","Analyte","0","2.88","25.077",0,"25.077","bbI","0.0","0","HMPAA"
"512","17","LBA112_B","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"513","38","LMB2_D","Analyte","0","2.89","3.631",0,"3.631","bdI","0.0","0","HMPAA"
"514","40","LRC7.O_B","Analyte","0","2.79","2.043",0,"2.043","bbI","0.0","0","HMPAA"
"515","42","LBA112_M","Analyte","0","2.88","8.142",0,"8.142","bbI","0.0","0","HMPAA"
"516","46","LAC11_M","Analyte","0","2.88","8.825",0,"8.825","bbI","0.0","0","HMPAA"
"517","47","LAC11_D","Analyte","0","2.89","2.460",0,"2.460","bbI","0.0","0","HMPAA"
"518","56","LMB2_B","Analyte","0","2.90","6.994",0,"6.994","bbI","0.0","0","HMPAA"
"519","59","LMX9_M","Analyte","0","2.88","21.602",0,"21.602","bbI","0.0","0","HMPAA"
"520","61","LMX9_D","Analyte","0","2.87","7.234",0,"7.234","bbI","0.0","0","HMPAA"
"521","62","NBC_M","Analyte","0","2.89","9.869",0,"9.869","bbI","0.0","0","HMPAA"
"522","64","LAC11_B","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"523","82","LMI1x_M","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"524","84","LME3_B","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"525","88","NBC_D","Analyte","0","2.88","2.615",0,"2.615","bbI","0.0","0","HMPAA"
"526","91","LRC7.O_D","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"527","93","LBA112_D","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"528","94","LMD1_D","Analyte","0","2.87","3.740",0,"3.740","bbI","0.0","0","HMPAA"
"529","100","LSP13_B","Analyte","0","2.86","3.361",0,"3.361","bbI","0.0","0","HMPAA"
"530","103","LMI1x_D","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"531","108","LSP13_M","Analyte","0","2.87","7.317",0,"7.317","bbI","0.0","0","HMPAA"
"532","110","LSP13_D","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"533","122","LMD1_B","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"534","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"535","124","LRC7.O_M","Analyte","0","2.88","12.625",0,"12.625","bbI","0.0","0","HMPAA"
"536","128","LMD1_M","Analyte","0","2.88","7.995",0,"7.995","bbI","0.0","0","HMPAA"
"537","131","LMX9_B","Analyte","0","2.86","3.991",0,"3.991","bbI","0.0","0","HMPAA"
"538","134","LMI1x_B","Analyte","0","2.88","5.091",0,"5.091","bbI","0.0","0","HMPAA"
"539","137","LME3_M","Analyte","0","2.89","406.699",0,"406.699","bb","1.0","0","HMPAA"
"540","139","LME3_D","Analyte","0","0","0",0,"0","0","0","0","HMPAA"
"541","16","LMB2_M","Analyte","0","1.27","50.176",0,"50.176","bb","14026.6","0","MAPH"
"542","17","LBA112_B","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"543","38","LMB2_D","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"544","40","LRC7.O_B","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"545","42","LBA112_M","Analyte","0","1.24","8.160",0,"8.160","bb","542.0","0","MAPH"
"546","46","LAC11_M","Analyte","0","1.26","9.524",0,"9.524","bb","979.8","0","MAPH"
"547","47","LAC11_D","Analyte","0","1.16","4.853",0,"4.853","bbI","0.0","0","MAPH"
"548","56","LMB2_B","Analyte","0","1.32","5.539",0,"5.539","bbI","0.0","0","MAPH"
"549","59","LMX9_M","Analyte","0","1.31","3.429",0,"3.429","bbI","0.0","0","MAPH"
"550","61","LMX9_D","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"551","62","NBC_M","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"552","64","LAC11_B","Analyte","0","1.31","8.730",0,"8.730","bb","724.9","0","MAPH"
"553","82","LMI1x_M","Analyte","0","1.21","3.490",0,"3.490","bbI","0.0","0","MAPH"
"554","84","LME3_B","Analyte","0","1.29","13.376",0,"13.376","db","2216.0","0","MAPH"
"555","88","NBC_D","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"556","91","LRC7.O_D","Analyte","0","1.29","6.377",0,"6.377","bdI","0.0","0","MAPH"
"557","93","LBA112_D","Analyte","0","1.14","7.492",0,"7.492","bb","327.6","0","MAPH"
"558","94","LMD1_D","Analyte","0","1.29","3.346",0,"3.346","bbI","0.0","0","MAPH"
"559","100","LSP13_B","Analyte","0","1.26","7.176",0,"7.176","bb","226.2","0","MAPH"
"560","103","LMI1x_D","Analyte","0","1.29","5.851",0,"5.851","bbI","0.0","0","MAPH"
"561","108","LSP13_M","Analyte","0","1.23","80.308",0,"80.308","bb","23697.1","0","MAPH"
"562","110","LSP13_D","Analyte","0","1.26","3.354",0,"3.354","dbI","0.0","0","MAPH"
"563","122","LMD1_B","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"564","123","NBC_B","Analyte","0","0","0",0,"0","0","0","0","MAPH"
"565","124","LRC7.O_M","Analyte","0","1.21","29.306",0,"29.306","db","7328.6","0","MAPH"
"566","128","LMD1_M","Analyte","0","1.23","223.911",0,"223.911","bb","69785.0","0","MAPH"
"567","131","LMX9_B","Analyte","0","1.27","14.359",0,"14.359","bb","2531.5","0","MAPH"
"568","134","LMI1x_B","Analyte","0","1.25","11.702",0,"11.702","bb","1678.8","0","MAPH"
"569","137","LME3_M","Analyte","0","1.23","25.380",0,"25.380","db","6068.6","0","MAPH"
"570","139","LME3_D","Analyte","0","1.19","2.715",0,"2.715","bbI","0.0","0","MAPH"
"571","1","Blank_01","Blank","0","0","0",0,"0","0","0","0","MBOA-Glc"
"572","2","Blank_02","Blank","0","0","0",0,"0","0","0","0","MBOA-Glc"
"573","3","QC_RefSample_0102","QC","0.000","0","0",0,"0","0","0","0","MBOA-Glc"
"574","4","Pool_01","QC","0.000","2.64","7.834",0,"7.834","bb","9.0","0","MBOA-Glc"
"575","6","Blank_03","Blank","0","0","0",0,"0","0","0","0","MBOA-Glc"
"576","25","Pool_02","QC","0.000","2.66","4.687",0,"4.687","bb","6.9","0","MBOA-Glc"
"577","45","Pool_03","QC","0.000","2.62","6.886",0,"6.886","bb","8.3","0","MBOA-Glc"
"578","65","Pool_04","QC","0.000","2.64","6.230",0,"6.230","bb","7.9","0","MBOA-Glc"
"579","66","PM11xStds_5ng_1","Standard","5.000","2.66","3.444",0,"3.444","bb","6.1","21.4","MBOA-Glc"
"580","67","PM11xStds_10ng_1","Standard","10.000","2.66","8.435",0,"8.435","bb","9.4","-6.3","MBOA-Glc"
"581","68","PM11xStds_50ng_1","Standard","50.000","2.66","52.836",0,"52.836","bb","38.8","-22.5","MBOA-Glc"
"582","69","PM11xStds_200ng_1","Standard","200.000","2.66","290.884",0,"290.884","bb","196.3","-1.9","MBOA-Glc"
"583","70","PM11xStds_400ng_1","Standard","400.000","2.66","656.894",0,"656.894","bb","438.5","9.6","MBOA-Glc"
"584","71","MHPA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","MBOA-Glc"
"585","72","MHPA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","MBOA-Glc"
"586","73","MHPA_200ngml_1","Standard","200.000","0","0",0,"0","0","0","0","MBOA-Glc"
"587","74","MHPA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","MBOA-Glc"
"588","75","MHPA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","MBOA-Glc"
"589","76","VAA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","MBOA-Glc"
"590","77","VAA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","MBOA-Glc"
"591","78","VAA_200ngml_1","Standard","200.000","0","0",0,"0","0","0","0","MBOA-Glc"
"592","79","VAA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","MBOA-Glc"
"593","80","VAA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","MBOA-Glc"
"594","85","Pool_05","QC","0.000","2.66","3.213",0,"3.213","bb","5.9","0","MBOA-Glc"
"595","105","Pool_06","QC","0.000","2.61","9.942",0,"9.942","db","10.4","0","MBOA-Glc"
"596","125","Pool_07","QC","0.000","2.60","6.708",0,"6.708","bd","8.2","0","MBOA-Glc"
"597","141","Pool_08","QC","0.000","2.63","10.758",0,"10.758","bb","10.9","0","MBOA-Glc"
"598","142","PM11xStds_5ng_2","Standard","5.000","2.66","5.626",0,"5.626","bb","7.5","50.3","MBOA-Glc"
"599","143","PM11xStds_10ng_2","Standard","10.000","2.66","7.241",0,"7.241","bb","8.6","-14.2","MBOA-Glc"
"600","144","PM11xStds_50ng_2","Standard","50.000","2.66","47.031",0,"47.031","bb","34.9","-30.2","MBOA-Glc"
"601","145","PM11xStds_200ng_2","Standard","200.000","2.66","272.546",0,"272.546","bb","184.1","-7.9","MBOA-Glc"
"602","146","PM11xStds_400ng_2","Standard","400.000","2.66","607.715",0,"607.715","bb","405.9","1.5","MBOA-Glc"
"603","147","MHPA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","MBOA-Glc"
"604","148","MHPA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","MBOA-Glc"
"605","149","MHPA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","MBOA-Glc"
"606","150","MHPA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","MBOA-Glc"
"607","151","MHPA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","MBOA-Glc"
"608","152","VAA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","MBOA-Glc"
"609","153","VAA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","MBOA-Glc"
"610","154","VAA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","MBOA-Glc"
"611","155","VAA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","MBOA-Glc"
"612","156","VAA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","MBOA-Glc"
"613","157","Blank_04","Blank","0","0","0",0,"0","0","0","0","MBOA-Glc"
"614","158","Blank_05","Blank","0","0","0",0,"0","0","0","0","MBOA-Glc"
"615","1","Blank_01","Blank","0","0","0",0,"0","0","0","0","HMPMA"
"616","2","Blank_02","Blank","0","2.69","3.219",0,"3.219","bb","4.4","0","HMPMA"
"617","3","QC_RefSample_0102","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"618","4","Pool_01","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"619","6","Blank_03","Blank","0","0","0",0,"0","0","0","0","HMPMA"
"620","25","Pool_02","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"621","45","Pool_03","QC","0.000","2.66","2.376",0,"2.376","bb","4.0","0","HMPMA"
"622","65","Pool_04","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"623","66","PM11xStds_5ng_1","Standard","5.000","2.75","6.666",0,"6.666","bb","6.1","21.9","HMPMA"
"624","67","PM11xStds_10ng_1","Standard","10.000","2.75","15.331",0,"15.331","bb","10.3","3.4","HMPMA"
"625","68","PM11xStds_50ng_1","Standard","50.000","2.75","92.514",0,"92.514","bb","48.2","-3.7","HMPMA"
"626","69","PM11xStds_200ng_1","Standard","200.000","2.75","406.513",0,"406.513","bb","202.0","1.0","HMPMA"
"627","70","PM11xStds_400ng_1","Standard","400.000","2.75","956.974",0,"956.974","db","471.7","17.9","HMPMA"
"628","71","MHPA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","HMPMA"
"629","72","MHPA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","HMPMA"
"630","73","MHPA_200ngml_1","Standard","200.000","0","0",0,"0","0","0","0","HMPMA"
"631","74","MHPA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","HMPMA"
"632","75","MHPA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","HMPMA"
"633","76","VAA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","HMPMA"
"634","77","VAA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","HMPMA"
"635","78","VAA_200ngml_1","Standard","200.000","0","0",0,"0","0","0","0","HMPMA"
"636","79","VAA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","HMPMA"
"637","80","VAA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","HMPMA"
"638","85","Pool_05","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"639","105","Pool_06","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"640","125","Pool_07","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"641","141","Pool_08","QC","0.000","0","0",0,"0","0","0","0","HMPMA"
"642","142","PM11xStds_5ng_2","Standard","5.000","2.73","5.587",0,"5.587","bb","5.6","11.3","HMPMA"
"643","143","PM11xStds_10ng_2","Standard","10.000","2.73","12.413",0,"12.413","bb","8.9","-10.9","HMPMA"
"644","144","PM11xStds_50ng_2","Standard","50.000","2.73","72.983",0,"72.983","bb","38.6","-22.8","HMPMA"
"645","145","PM11xStds_200ng_2","Standard","200.000","2.73","379.438",0,"379.438","bb","188.7","-5.6","HMPMA"
"646","146","PM11xStds_400ng_2","Standard","400.000","2.73","708.359",0,"708.359","bb","349.9","-12.5","HMPMA"
"647","147","MHPA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","HMPMA"
"648","148","MHPA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","HMPMA"
"649","149","MHPA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","HMPMA"
"650","150","MHPA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","HMPMA"
"651","151","MHPA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","HMPMA"
"652","152","VAA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","HMPMA"
"653","153","VAA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","HMPMA"
"654","154","VAA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","HMPMA"
"655","155","VAA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","HMPMA"
"656","156","VAA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","HMPMA"
"657","157","Blank_04","Blank","0","0","0",0,"0","0","0","0","HMPMA"
"658","158","Blank_05","Blank","0","0","0",0,"0","0","0","0","HMPMA"
"659","1","Blank_01","Blank","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"660","2","Blank_02","Blank","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"661","3","QC_RefSample_0102","QC","0.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"662","4","Pool_01","QC","0.000","2.70","246.543",0,"246.543","bb","440.8","0","DIMBOA-Glc"
"663","6","Blank_03","Blank","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"664","25","Pool_02","QC","0.000","2.70","248.393",0,"248.393","bd","444.1","0","DIMBOA-Glc"
"665","45","Pool_03","QC","0.000","2.71","231.268",0,"231.268","bb","413.3","0","DIMBOA-Glc"
"666","65","Pool_04","QC","0.000","2.71","191.665",0,"191.665","bb","341.9","0","DIMBOA-Glc"
"667","66","PM11xStds_5ng_1","Standard","5.000","2.70","5.455",0,"5.455","bb","6.4","28.6","DIMBOA-Glc"
"668","67","PM11xStds_10ng_1","Standard","10.000","2.71","8.913",0,"8.913","bb","12.7","26.6","DIMBOA-Glc"
"669","68","PM11xStds_50ng_1","Standard","50.000","2.71","40.928",0,"40.928","bb","70.3","40.7","DIMBOA-Glc"
"670","69","PM11xStds_200ng_1","Standard","200.000","2.71","212.182",0,"212.182","bb","378.9","89.4","DIMBOA-Glc"
"671","70","PM11xStds_400ng_1","Standard","400.000","2.71","467.431",0,"467.431","bb","838.8","109.7","DIMBOA-Glc"
"672","71","MHPA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"673","72","MHPA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"674","73","MHPA_200ngml_1","Standard","200.000","2.68","2.746",0,"2.746","bb","1.6","-99.2","DIMBOA-Glc"
"675","74","MHPA_500ngml_1","Standard","500.000","2.69","4.102",0,"4.102","bb","4.0","-99.2","DIMBOA-Glc"
"676","75","MHPA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"677","76","VAA_40ngml_1","Standard","40.000","2.68","2.963",0,"2.963","bb","1.9","-95.1","DIMBOA-Glc"
"678","77","VAA_100ngml_1","Standard","100.000","2.68","2.498",0,"2.498","bb","1.1","-98.9","DIMBOA-Glc"
"679","78","VAA_200ngml_1","Standard","200.000","2.68","3.318",0,"3.318","bb","2.6","-98.7","DIMBOA-Glc"
"680","79","VAA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"681","80","VAA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"682","85","Pool_05","QC","0.000","2.71","224.580",0,"224.580","bb","401.2","0","DIMBOA-Glc"
"683","105","Pool_06","QC","0.000","2.71","205.041",0,"205.041","bd","366.0","0","DIMBOA-Glc"
"684","125","Pool_07","QC","0.000","2.71","201.095",0,"201.095","bb","358.9","0","DIMBOA-Glc"
"685","141","Pool_08","QC","0.000","2.71","202.304",0,"202.304","bd","361.1","0","DIMBOA-Glc"
"686","142","PM11xStds_5ng_2","Standard","5.000","2.71","6.361",0,"6.361","bb","8.1","61.3","DIMBOA-Glc"
"687","143","PM11xStds_10ng_2","Standard","10.000","2.71","6.790",0,"6.790","bb","8.8","-11.6","DIMBOA-Glc"
"688","144","PM11xStds_50ng_2","Standard","50.000","2.71","33.652",0,"33.652","bb","57.2","14.5","DIMBOA-Glc"
"689","145","PM11xStds_200ng_2","Standard","200.000","2.71","196.449",0,"196.449","bb","350.5","75.3","DIMBOA-Glc"
"690","146","PM11xStds_400ng_2","Standard","400.000","2.71","349.931",0,"349.931","bb","627.1","56.8","DIMBOA-Glc"
"691","147","MHPA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"692","148","MHPA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"693","149","MHPA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"694","150","MHPA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"695","151","MHPA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"696","152","VAA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"697","153","VAA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"698","154","VAA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"699","155","VAA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"700","156","VAA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","DIMBOA-Glc"
"701","157","Blank_04","Blank","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"702","158","Blank_05","Blank","0","0","0",0,"0","0","0","0","DIMBOA-Glc"
"703","1","Blank_01","Blank","0","0","0",0,"0","0","0","0","HMBOA"
"704","2","Blank_02","Blank","0","0","0",0,"0","0","0","0","HMBOA"
"705","3","QC_RefSample_0102","QC","0.000","0","0",0,"0","0","0","0","HMBOA"
"706","4","Pool_01","QC","0.000","3.00","11.294",0,"11.294","bbI","0.0","0","HMBOA"
"707","6","Blank_03","Blank","0","3.00","2.724",0,"2.724","bbI","0.0","0","HMBOA"
"708","25","Pool_02","QC","0.000","3.02","10.774",0,"10.774","bbI","0.0","0","HMBOA"
"709","45","Pool_03","QC","0.000","3.02","11.282",0,"11.282","bdI","0.0","0","HMBOA"
"710","65","Pool_04","QC","0.000","3.02","13.018",0,"13.018","bbI","0.0","0","HMBOA"
"711","66","PM11xStds_5ng_1","Standard","5.000","3.02","17.662",0,"17.662","bb","0.7","-86.9","HMBOA"
"712","67","PM11xStds_10ng_1","Standard","10.000","3.02","41.040",0,"41.040","bb","9.0","-10.2","HMBOA"
"713","68","PM11xStds_50ng_1","Standard","50.000","3.02","240.800",0,"240.800","bb","80.1","60.2","HMBOA"
"714","69","PM11xStds_200ng_1","Standard","200.000","3.02","1119.990",0,"1119.990","bb","393.2","96.6","HMBOA"
"715","70","PM11xStds_400ng_1","Standard","400.000","3.02","2439.925",0,"2439.925","bb","863.2","115.8","HMBOA"
"716","71","MHPA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","HMBOA"
"717","72","MHPA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","HMBOA"
"718","73","MHPA_200ngml_1","Standard","200.000","0","0",0,"0","0","0","0","HMBOA"
"719","74","MHPA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","HMBOA"
"720","75","MHPA_1000ngml_1","Standard","1000.000","2.93","2.721",0,"2.721","bbI","0.0","-100.0","HMBOA"
"721","76","VAA_40ngml_1","Standard","40.000","0","0",0,"0","0","0","0","HMBOA"
"722","77","VAA_100ngml_1","Standard","100.000","0","0",0,"0","0","0","0","HMBOA"
"723","78","VAA_200ngml_1","Standard","200.000","3.05","2.484",0,"2.484","bbI","0.0","-100.0","HMBOA"
"724","79","VAA_500ngml_1","Standard","500.000","0","0",0,"0","0","0","0","HMBOA"
"725","80","VAA_1000ngml_1","Standard","1000.000","0","0",0,"0","0","0","0","HMBOA"
"726","85","Pool_05","QC","0.000","3.03","8.205",0,"8.205","dbI","0.0","0","HMBOA"
"727","105","Pool_06","QC","0.000","3.02","9.574",0,"9.574","bbI","0.0","0","HMBOA"
"728","125","Pool_07","QC","0.000","3.02","12.506",0,"12.506","dbI","0.0","0","HMBOA"
"729","141","Pool_08","QC","0.000","3.02","6.615",0,"6.615","bbI","0.0","0","HMBOA"
"730","142","PM11xStds_5ng_2","Standard","5.000","3.02","19.731",0,"19.731","bb","1.4","-72.2","HMBOA"
"731","143","PM11xStds_10ng_2","Standard","10.000","3.02","32.493",0,"32.493","bb","5.9","-40.7","HMBOA"
"732","144","PM11xStds_50ng_2","Standard","50.000","3.02","215.031",0,"215.031","bb","70.9","41.9","HMBOA"
"733","145","PM11xStds_200ng_2","Standard","200.000","3.02","1119.478",0,"1119.478","bb","393.0","96.5","HMBOA"
"734","146","PM11xStds_400ng_2","Standard","400.000","3.02","2338.264",0,"2338.264","bb","827.0","106.7","HMBOA"
"735","147","MHPA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","HMBOA"
"736","148","MHPA_100ngml_2","Standard","100.000","2.94","2.211",0,"2.211","bbI","0.0","-100.0","HMBOA"
"737","149","MHPA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","HMBOA"
"738","150","MHPA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","HMBOA"
"739","151","MHPA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","HMBOA"
"740","152","VAA_40ngml_2","Standard","40.000","0","0",0,"0","0","0","0","HMBOA"
"741","153","VAA_100ngml_2","Standard","100.000","0","0",0,"0","0","0","0","HMBOA"
"742","154","VAA_200ngml_2","Standard","200.000","0","0",0,"0","0","0","0","HMBOA"
"743","155","VAA_500ngml_2","Standard","500.000","0","0",0,"0","0","0","0","HMBOA"
"744","156","VAA_1000ngml_2","Standard","1000.000","0","0",0,"0","0","0","0","HMBOA"
"745","157","Blank_04","Blank","0","0","0",0,"0","0","0","0","HMBOA"
"746","158","Blank_05","Blank","0","0","0",0,"0","0","0","0","HMBOA"
